OBJECTID,OA11CD,LAD11CD,LAD16CD,LAD16NM,Shape__Are,Shape__Len,area_km2,den_calc,All Ages,LSOA11CD,OBJECTID_2,LSOA11CD_2,LSOA11NM,BNG_E,BNG_N,LONG_,LAT,Shape_Leng,Shape__A_1,Shape__L_1,Broadband,Demography,Deprivatio,DERI score,lsoa11nmw,st_areasha,st_lengths,IMD_Rank,IMD_Decile,LSOA01NM,LADcd,LADnm,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,BHSScore,BHSRank,BHSDec,EnvScore,EnvRank,EnvDec,IDCScore,IDCRank,IDCDec,IDOScore,IDORank,IDODec,CYPScore,CYPRank,CYPDec,ASScore,ASRank,ASDec,GBScore,GBRank,GBDec,WBScore,WBRank,WBDec,IndScore,IndRank,IndDec,OutScore,OutRank,OutDec,TotPop,DepChi,Pop16_59,Pop60+,WorkPop,LSOA11CD_3,LSOA11NM_2,layer,path,IUCSHP_ID,IUCLSOA11_,IUCLSOA1_1,IUCGRP_CD,IUCGRP_LAB,LSOA11CD_1,Shape__A_2,Shape__L_2
"70401",E00072645,E06000022,E06000022,Bath and North East Somerset,1182605.813957209931687,8521.824059759910597,1.1860122728,388.700,"476",E01014382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>10km,"MultiPolygon?crs=EPSG:27700&field=OBJECTID:integer(6,0)&field=OA11CD:string(9,0)&field=LAD11CD:string(9,0)&field=LAD16CD:string(9,0)&field=LAD16NM:string(28,0)&field=Shape__Are:double(23,15)&field=Shape__Len:double(23,15)&field=area_km2:double(13,10)&fie","185",E01014382,Bath and North East Somerset 021A,"5",e-Rational Utilitarians,,,
"70402",E00072646,E06000022,E06000022,Bath and North East Somerset,793928.654483795049600,6093.907762242200988,0.8010017070,405.700,"323",E01014382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>10km,"MultiPolygon?crs=EPSG:27700&field=OBJECTID:integer(6,0)&field=OA11CD:string(9,0)&field=LAD11CD:string(9,0)&field=LAD16CD:string(9,0)&field=LAD16NM:string(28,0)&field=Shape__Are:double(23,15)&field=Shape__Len:double(23,15)&field=area_km2:double(13,10)&fie","185",E01014382,Bath and North East Somerset 021A,"5",e-Rational Utilitarians,,,
"70403",E00072647,E06000022,E06000022,Bath and North East Somerset,6077097.123695369809866,21085.586531889999605,6.0761738275,35.220,"198",E01014382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>10km,"MultiPolygon?crs=EPSG:27700&field=OBJECTID:integer(6,0)&field=OA11CD:string(9,0)&field=LAD11CD:string(9,0)&field=LAD16CD:string(9,0)&field=LAD16NM:string(28,0)&field=Shape__Are:double(23,15)&field=Shape__Len:double(23,15)&field=area_km2:double(13,10)&fie","185",E01014382,Bath and North East Somerset 021A,"5",e-Rational Utilitarians,,,
"70405",E00072649,E06000022,E06000022,Bath and North East Somerset,1144991.144512180006132,6647.943136824020257,1.1162187324,255.300,"295",E01014383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>10km,"MultiPolygon?crs=EPSG:27700&field=OBJECTID:integer(6,0)&field=OA11CD:string(9,0)&field=LAD11CD:string(9,0)&field=LAD16CD:string(9,0)&field=LAD16NM:string(28,0)&field=Shape__Are:double(23,15)&field=Shape__Len:double(23,15)&field=area_km2:double(13,10)&fie","10239",E01014383,Bath and North East Somerset 021B,"5",e-Rational Utilitarians,,,
"70406",E00072650,E06000022,E06000022,Bath and North East Somerset,6026605.657432559877634,16618.219364132201008,6.0150615029,38.240,"247",E01014383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>10km,"MultiPolygon?crs=EPSG:27700&field=OBJECTID:integer(6,0)&field=OA11CD:string(9,0)&field=LAD11CD:string(9,0)&field=LAD16CD:string(9,0)&field=LAD16NM:string(28,0)&field=Shape__Are:double(23,15)&field=Shape__Len:double(23,15)&field=area_km2:double(13,10)&fie","10239",E01014383,Bath and North East Somerset 021B,"5",e-Rational Utilitarians,,,
"70407",E00072651,E06000022,E06000022,Bath and North East Somerset,7751263.536399840377271,22286.871252718199685,7.7572132656,27.720,"192",E01014383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>10km,"MultiPolygon?crs=EPSG:27700&field=OBJECTID:integer(6,0)&field=OA11CD:string(9,0)&field=LAD11CD:string(9,0)&field=LAD16CD:string(9,0)&field=LAD16NM:string(28,0)&field=Shape__Are:double(23,15)&field=Shape__Len:double(23,15)&field=area_km2:double(13,10)&fie","10239",E01014383,Bath and North East Somerset 021B,"5",e-Rational Utilitarians,,,
"70408",E00072652,E06000022,E06000022,Bath and North East Somerset,3917567.861034390050918,11514.832810142899689,3.9099900258,152.400,"611",E01014384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>10km,"MultiPolygon?crs=EPSG:27700&field=OBJECTID:integer(6,0)&field=OA11CD:string(9,0)&field=LAD11CD:string(9,0)&field=LAD16CD:string(9,0)&field=LAD16NM:string(28,0)&field=Shape__Are:double(23,15)&field=Shape__Len:double(23,15)&field=area_km2:double(13,10)&fie","11832",E01014384,Bath and North East Somerset 021C,"5",e-Rational Utilitarians,,,
"70409",E00072653,E06000022,E06000022,Bath and North East Somerset,427395.944301604933571,3841.380428660630059,0.4329129433,1106.000,"466",E01014384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>10km,"MultiPolygon?crs=EPSG:27700&field=OBJECTID:integer(6,0)&field=OA11CD:string(9,0)&field=LAD11CD:string(9,0)&field=LAD16CD:string(9,0)&field=LAD16NM:string(28,0)&field=Shape__Are:double(23,15)&field=Shape__Len:double(23,15)&field=area_km2:double(13,10)&fie","11832",E01014384,Bath and North East Somerset 021C,"5",e-Rational Utilitarians,,,
"70410",E00072654,E06000022,E06000022,Bath and North East Somerset,5334423.225574489682913,13702.789673125698755,5.3241725241,38.130,"197",E01014384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>10km,"MultiPolygon?crs=EPSG:27700&field=OBJECTID:integer(6,0)&field=OA11CD:string(9,0)&field=LAD11CD:string(9,0)&field=LAD16CD:string(9,0)&field=LAD16NM:string(28,0)&field=Shape__Are:double(23,15)&field=Shape__Len:double(23,15)&field=area_km2:double(13,10)&fie","11832",E01014384,Bath and North East Somerset 021C,"5",e-Rational Utilitarians,,,
"70411",E00072655,E06000022,E06000022,Bath and North East Somerset,282094.631980895996094,2987.603900913729831,0.2878209107,1063.000,"311",E01014384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>10km,"MultiPolygon?crs=EPSG:27700&field=OBJECTID:integer(6,0)&field=OA11CD:string(9,0)&field=LAD11CD:string(9,0)&field=LAD16CD:string(9,0)&field=LAD16NM:string(28,0)&field=Shape__Are:double(23,15)&field=Shape__Len:double(23,15)&field=area_km2:double(13,10)&fie","11832",E01014384,Bath and North East Somerset 021C,"5",e-Rational Utilitarians,,,
