OA11CD,LSOA11CD,All Ages
E00072563,E01014370,"198"
E00072568,E01014370,"277"
E00072569,E01014370,"203"
E00072572,E01014370,"220"
E00072573,E01014370,"335"
E00072574,E01014370,"504"
E00072576,E01014370,"150"
E00072578,E01014370,"208"
E00072564,E01014371,"186"
E00072565,E01014371,"334"
E00072567,E01014371,"216"
E00072570,E01014371,"173"
E00072571,E01014371,"162"
E00072575,E01014371,"547"
E00072581,E01014371,"224"
E00072586,E01014371,"213"
E00072566,E01014372,"295"
E00072577,E01014372,"257"
E00072579,E01014372,"222"
E00072580,E01014372,"238"
E00072582,E01014372,"173"
E00072583,E01014372,"197"
E00072584,E01014372,"231"
E00072585,E01014372,"206"
E00072587,E01014372,"226"
E00072594,E01014373,"316"
E00072595,E01014373,"318"
E00072597,E01014373,"328"
E00072599,E01014373,"375"
E00072602,E01014373,"343"
E00072593,E01014374,"344"
E00072600,E01014374,"316"
E00072601,E01014374,"293"
E00072607,E01014374,"340"
E00072608,E01014374,"274"
E00072596,E01014375,"284"
E00072609,E01014375,"330"
E00072610,E01014375,"95"
E00072612,E01014375,"274"
E00072613,E01014375,"293"
E00072598,E01014376,"266"
E00072603,E01014376,"348"
E00072604,E01014376,"375"
E00072605,E01014376,"286"
E00072606,E01014376,"245"
E00072588,E01014377,"261"
E00072589,E01014377,"291"
E00072590,E01014377,"257"
E00072591,E01014377,"258"
E00072592,E01014377,"210"
E00072611,E01014377,"128"
E00072624,E01014379,"328"
E00072625,E01014379,"335"
E00072626,E01014379,"145"
E00072627,E01014379,"216"
E00072628,E01014379,"245"
E00072629,E01014379,"277"
E00072630,E01014379,"970"
E00072631,E01014379,"258"
E00072632,E01014380,"252"
E00072633,E01014380,"394"
E00072640,E01014380,"292"
E00170254,E01014380,"4,303"
E00170257,E01014380,"113"
E00072634,E01014381,"276"
E00072635,E01014381,"282"
E00072636,E01014381,"566"
E00072637,E01014381,"230"
E00072638,E01014381,"307"
E00072641,E01014382,"270"
E00072642,E01014382,"405"
E00072643,E01014382,"275"
E00072644,E01014382,"252"
E00072645,E01014382,"476"
E00072646,E01014382,"323"
E00072647,E01014382,"198"
E00072648,E01014382,"220"
E00072649,E01014383,"295"
E00072650,E01014383,"247"
E00072651,E01014383,"192"
E00072656,E01014383,"367"
E00072652,E01014384,"611"
E00072653,E01014384,"466"
E00072654,E01014384,"197"
E00072655,E01014384,"311"
E00072657,E01014385,"146"
E00072658,E01014385,"153"
E00072660,E01014385,"362"
E00072664,E01014385,"409"
E00072665,E01014385,"375"
E00072659,E01014386,"340"
E00072661,E01014386,"281"
E00072662,E01014386,"307"
E00072663,E01014386,"289"
E00072679,E01014387,"712"
E00072682,E01014387,"328"
E00072683,E01014387,"275"
E00072684,E01014387,"312"
E00072666,E01014388,"270"
E00072668,E01014388,"204"
E00072672,E01014388,"267"
E00072676,E01014388,"336"
E00072677,E01014388,"246"
E00072667,E01014389,"282"
E00072669,E01014389,"252"
E00072670,E01014389,"510"
E00072680,E01014389,"241"
E00072681,E01014389,"379"
E00072671,E01014390,"228"
E00072673,E01014390,"280"
E00072674,E01014390,"348"
E00072675,E01014390,"269"
E00072678,E01014390,"404"
E00072689,E01014391,"173"
E00072690,E01014391,"295"
E00072691,E01014391,"405"
E00072692,E01014391,"388"
E00072693,E01014391,"417"
E00072685,E01014392,"317"
E00072686,E01014392,"272"
E00072687,E01014392,"175"
E00072688,E01014392,"303"
E00072698,E01014393,"297"
E00072700,E01014393,"350"
E00072701,E01014393,"318"
E00072702,E01014393,"322"
E00072694,E01014394,"344"
E00072695,E01014394,"224"
E00072696,E01014394,"361"
E00072697,E01014394,"299"
E00072699,E01014394,"520"
E00072703,E01014395,"314"
E00072712,E01014395,"321"
E00072713,E01014395,"305"
E00072714,E01014395,"332"
E00072715,E01014396,"392"
E00072716,E01014396,"267"
E00072718,E01014396,"222"
E00072719,E01014396,"265"
E00072720,E01014396,"394"
E00072705,E01014397,"414"
E00072706,E01014397,"289"
E00072709,E01014397,"414"
E00072710,E01014397,"279"
E00072704,E01014398,"244"
E00072707,E01014398,"279"
E00072708,E01014398,"243"
E00072711,E01014398,"318"
E00072717,E01014398,"430"
E00072724,E01014399,"956"
E00072728,E01014399,"334"
E00072730,E01014399,"263"
E00072731,E01014399,"296"
E00072733,E01014399,"312"
E00072721,E01014400,"305"
E00072722,E01014400,"405"
E00072727,E01014400,"296"
E00072734,E01014400,"393"
E00072735,E01014400,"909"
E00072736,E01014400,"339"
E00072723,E01014401,"333"
E00072725,E01014401,"318"
E00072726,E01014401,"325"
E00072729,E01014401,"366"
E00072732,E01014401,"401"
E00072738,E01014402,"267"
E00072739,E01014402,"264"
E00072740,E01014402,"1,131"
E00072748,E01014402,"321"
E00072751,E01014402,"296"
E00072754,E01014402,"577"
E00072737,E01014403,"288"
E00072741,E01014403,"189"
E00072742,E01014403,"312"
E00072743,E01014403,"212"
E00072744,E01014403,"366"
E00072745,E01014403,"239"
E00072746,E01014404,"292"
E00072747,E01014404,"169"
E00072749,E01014404,"602"
E00072750,E01014404,"298"
E00072752,E01014404,"346"
E00072753,E01014404,"418"
E00072760,E01014405,"219"
E00072765,E01014405,"375"
E00072766,E01014405,"390"
E00072767,E01014405,"395"
E00072769,E01014405,"401"
E00072770,E01014405,"274"
E00072771,E01014405,"294"
E00072755,E01014407,"180"
E00072756,E01014407,"291"
E00072757,E01014407,"196"
E00072758,E01014407,"825"
E00072759,E01014407,"795"
E00072781,E01014409,"246"
E00072782,E01014409,"234"
E00072784,E01014409,"298"
E00072785,E01014409,"243"
E00072786,E01014409,"362"
E00072792,E01014409,"270"
E00072776,E01014410,"313"
E00072778,E01014410,"279"
E00072788,E01014410,"328"
E00072789,E01014410,"275"
E00072790,E01014410,"275"
E00072791,E01014410,"307"
E00072777,E01014411,"326"
E00072779,E01014411,"360"
E00072780,E01014411,"332"
E00072783,E01014411,"462"
E00072787,E01014411,"279"
E00072793,E01014411,"250"
E00072794,E01014411,"261"
E00072795,E01014412,"276"
E00072799,E01014412,"292"
E00072800,E01014412,"205"
E00072802,E01014412,"259"
E00072806,E01014412,"246"
E00072808,E01014412,"162"
E00072796,E01014413,"940"
E00072797,E01014413,"450"
E00072798,E01014413,"499"
E00072801,E01014413,"346"
E00072803,E01014413,"258"
E00072804,E01014414,"206"
E00072805,E01014414,"227"
E00072807,E01014414,"173"
E00072809,E01014414,"309"
